exp_id,label_label_macro_f1_score
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.001",0.5898630960
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.0001",0.5997776779
"encoder_learning_rate=1e-05,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.01",0.6182574460
"encoder_learning_rate=1e-05,init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.001",0.6273868279
"encoder_learning_rate=0.0001,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.6383635849
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.1",0.6253398633
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=32,postencoder_learning_rate=0.01",0.6194613218
"encoder_learning_rate=1e-06,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.6017507717
"encoder_learning_rate=0.001,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.1",0.0346587107
"encoder_learning_rate=1e-06,init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.1",0.5833924652
"encoder_learning_rate=0.001,init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.01",0.0346579148
"encoder_learning_rate=0.0001,init_stddev=0.1,minibatch_size=16,postencoder_learning_rate=0.0001",0.5893999706
"encoder_learning_rate=0.001,init_stddev=0.1,minibatch_size=32,postencoder_learning_rate=0.0001",0.0346579148
"encoder_learning_rate=0.001,init_stddev=0.01,minibatch_size=16,postencoder_learning_rate=0.001",0.0346579148
"encoder_learning_rate=0.001,init_stddev=0.001,minibatch_size=32,postencoder_learning_rate=0.01",0.0346587107
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.0001",0.6214994516
"encoder_learning_rate=1e-05,init_stddev=0.001,minibatch_size=64,postencoder_learning_rate=0.001",0.6186939900
"encoder_learning_rate=0.0001,init_stddev=0.1,minibatch_size=64,postencoder_learning_rate=0.1",0.6188679417
"encoder_learning_rate=1e-05,init_stddev=0.01,minibatch_size=64,postencoder_learning_rate=0.1",0.6158522987
"encoder_learning_rate=1e-06,init_stddev=0.001,minibatch_size=16,postencoder_learning_rate=0.001",0.6018449299
